Time,Loss,Accuracy,valLoss,valAccuracy
10,2.1547,0.28,2.5756,0.1
6,1.7584,0.4271,3.0347,0.1
6,1.4028,0.5229,3.8019,0.1
6,1.1911,0.5843,3.9279,0.1
6,1.1115,0.6143,4.7037,0.1
6,0.9911,0.6443,4.1016,0.1
6,0.8704,0.6914,4.8159,0.1
6,0.8325,0.7143,4.3503,0.1067
6,0.7913,0.7271,3.9827,0.1433
6,0.7985,0.7286,2.3145,0.4533
6,0.5948,0.8043,1.8477,0.5167
6,0.6,0.7971,2.2756,0.4567
6,0.5964,0.8243,2.9215,0.52
6,0.4512,0.8457,3.33,0.4167
6,0.3874,0.8786,2.2558,0.53
6,0.4617,0.8514,3.0278,0.4633
6,0.4073,0.8586,5.1237,0.3567
6,0.4093,0.84,2.7007,0.48
6,0.3936,0.8671,3.214,0.44
6,0.2539,0.9143,2.7211,0.5267
6,0.328,0.8886,4.7909,0.38
6,0.3023,0.9043,2.2339,0.56
6,0.2962,0.9086,2.0715,0.53
6,0.2729,0.9043,4.5469,0.4667
6,0.2635,0.9157,2.2294,0.58
6,0.3555,0.8671,3.9784,0.4667
6,0.1961,0.9329,2.5806,0.5567
6,0.1478,0.9529,3.8289,0.4733
6,0.2315,0.9314,2.4242,0.56
6,0.1867,0.9429,2.3131,0.4733
6,0.1809,0.9357,2.5248,0.54
6,0.1628,0.9471,1.6346,0.64
6,0.1432,0.9543,1.9658,0.6167
6,0.1658,0.9429,2.2449,0.5833
6,0.1946,0.9286,2.729,0.53
6,0.1751,0.9386,3.2591,0.51
6,0.1846,0.9429,2.1736,0.6267
6,0.1466,0.9486,2.1336,0.58
6,0.1414,0.9543,2.1411,0.5867
6,0.1791,0.9329,2.875,0.5267
6,0.1352,0.9514,2.2425,0.5867
6,0.1907,0.9343,2.3907,0.5833
6,0.1998,0.94,3.9957,0.4467
6,0.1641,0.9457,2.5833,0.5533
6,0.1672,0.9429,1.9903,0.64
6,0.0892,0.97,2.163,0.64
6,0.0347,0.9957,1.5791,0.6767
6,0.0208,0.9957,1.9691,0.6567
6,0.0596,0.9786,2.0267,0.62
6,0.1535,0.95,3.6456,0.4767
6,0.0732,0.9757,2.7852,0.5967
6,0.1431,0.9543,2.7617,0.5067
6,0.1676,0.9443,1.7744,0.6233
6,0.1349,0.9529,2.2445,0.6167
6,0.0824,0.9714,2.8287,0.58
6,0.0776,0.9729,2.8226,0.58
6,0.2033,0.9414,2.4098,0.5467
6,0.2394,0.91,2.957,0.5233
7,0.2017,0.9429,3.0425,0.5233
6,0.1798,0.9471,3.5782,0.4333
6,0.1264,0.9514,2.5048,0.56
6,0.1119,0.9614,2.639,0.56
6,0.1198,0.9643,2.0403,0.6367
6,0.1487,0.9443,2.9821,0.5333
6,0.1027,0.97,2.1887,0.65
6,0.0842,0.9657,2.3102,0.5933
6,0.0384,0.99,1.9948,0.6567
6,0.072,0.98,2.2222,0.6533
6,0.1357,0.9586,2.4984,0.56
6,0.1716,0.95,4.4125,0.4333
6,0.1742,0.9429,2.3506,0.57
6,0.144,0.9443,2.6847,0.5867
6,0.1518,0.9543,5.301,0.3767
6,0.1339,0.9486,2.4539,0.5833
6,0.1051,0.9686,2.3763,0.6567
6,0.0807,0.9686,1.976,0.6267
6,0.0526,0.9814,2.1904,0.65
6,0.0792,0.9771,2.0267,0.65
6,0.0556,0.9786,2.007,0.6433
6,0.0295,0.9929,1.9283,0.6667
6,0.0525,0.98,1.9208,0.6567
6,0.0312,0.9914,2.192,0.6467
6,0.0892,0.9743,3.0005,0.53
6,0.0634,0.9814,2.1816,0.62
6,0.0317,0.9914,1.6781,0.6633
6,0.0235,0.9929,2.2947,0.5933
6,0.0128,0.9986,2.0374,0.66
6,0.0487,0.9886,2.2989,0.61
6,0.093,0.9643,3.1488,0.5567
6,0.1897,0.9429,3.912,0.4867
