Time,Loss,Accuracy,valLoss,valAccuracy
21,2.662,0.2453,2.4232,0.204
13,1.7814,0.2613,1.9275,0.264
13,1.6668,0.324,2.3545,0.352
13,1.5875,0.3307,2.0945,0.344
13,1.5708,0.3067,2.0477,0.2
13,1.6632,0.296,2.3748,0.22
13,1.6428,0.2947,2.6858,0.224
13,1.5947,0.2933,1.7027,0.256
13,1.63,0.284,5.8955,0.288
13,1.5715,0.3347,25.9619,0.312
13,1.5586,0.3187,8.5754,0.284
13,1.5325,0.348,4.2753,0.304
13,1.5581,0.3413,2.1551,0.276
14,1.5477,0.36,5.6862,0.34
13,1.5816,0.3467,1.8703,0.28
13,1.5237,0.3267,1.6785,0.332
13,1.5385,0.356,1.4774,0.316
13,1.5721,0.3173,1.5625,0.332
13,1.5479,0.3307,2.0961,0.28
13,1.5474,0.3107,3.4135,0.168
13,1.5313,0.332,1.9924,0.268
13,1.5305,0.3267,1.4904,0.376
13,1.5376,0.3173,15.6214,0.208
13,1.5781,0.296,1.6493,0.276
13,1.5336,0.3173,1.6998,0.228
14,1.5113,0.3253,2.2258,0.356
13,1.5378,0.304,1.7122,0.276
13,1.4747,0.3613,1.4752,0.364
13,1.4754,0.3547,2.0306,0.304
13,1.4969,0.364,1.9683,0.324
13,1.4911,0.356,2.2073,0.308
13,1.477,0.3573,1.4113,0.4
13,1.4382,0.3987,5.2741,0.312
13,1.4282,0.4013,1.7633,0.3
13,1.4022,0.4133,3.8942,0.336
13,1.4166,0.3947,7.645,0.304
13,1.3752,0.432,3.2322,0.276
14,1.3308,0.4427,2.367,0.272
13,1.3529,0.4187,8.362,0.304
13,1.3285,0.448,2.582,0.352
13,1.3119,0.4573,3.504,0.372
13,1.2575,0.4867,2.0398,0.396
13,1.2632,0.4747,1.4811,0.436
13,1.2372,0.48,2.3953,0.312
13,1.2644,0.46,1.9653,0.412
13,1.2691,0.472,8.3388,0.348
13,1.1699,0.536,3.2713,0.388
13,1.2075,0.5093,2.1301,0.328
13,1.2644,0.4907,7.8844,0.3
13,1.1672,0.5427,1.6209,0.32
14,1.1164,0.524,1.4203,0.464
13,1.0466,0.56,1.5662,0.476
13,1.0404,0.5733,4.11,0.344
13,1.0051,0.604,2.6907,0.368
13,0.9733,0.6013,2.25,0.424
13,0.9378,0.6107,1.6229,0.464
13,0.9023,0.652,2.1367,0.412
14,0.8988,0.6733,2.492,0.452
13,0.8566,0.676,2.5663,0.452
13,0.7761,0.6947,1.6405,0.416
13,0.7448,0.7293,2.1789,0.444
13,0.7066,0.732,1.7311,0.464
14,0.6105,0.76,7.7444,0.4
13,0.6128,0.776,2.1242,0.424
13,0.651,0.7707,2.2562,0.464
13,0.4371,0.8453,2.2031,0.452
13,0.4625,0.828,2.0323,0.456
13,0.389,0.864,7.4847,0.304
13,0.3837,0.856,2.9184,0.44
13,0.3647,0.8667,2.7349,0.436
13,0.2477,0.9267,2.1776,0.452
13,0.2483,0.9147,2.6959,0.464
13,0.2525,0.9053,3.4466,0.396
13,0.2282,0.9227,2.6683,0.488
14,0.1835,0.9507,2.4741,0.448
13,0.2233,0.9187,2.7475,0.452
13,0.1415,0.9493,5.6147,0.408
13,0.1952,0.928,6.3269,0.428
13,0.1608,0.9387,3.2755,0.468
13,0.1073,0.9653,4.8233,0.452
13,0.1237,0.96,2.9782,0.444
13,0.1255,0.964,3.1091,0.448
13,0.0594,0.9867,2.6474,0.448
13,0.0584,0.9813,3.7951,0.404
13,0.0557,0.984,4.9728,0.38
13,0.1409,0.9427,3.9906,0.424
14,0.1801,0.936,5.8411,0.456
13,0.1235,0.9653,3.1409,0.46
13,0.1109,0.9613,9.872,0.38
13,0.1395,0.9573,3.0896,0.448
13,0.0713,0.9773,3.3624,0.48
13,0.0714,0.9813,3.1911,0.468
13,0.0659,0.98,2.9147,0.448
13,0.0666,0.9827,2.9087,0.488
13,0.0567,0.984,3.1208,0.504
13,0.108,0.968,9.2844,0.38
13,0.1084,0.964,3.8048,0.436
13,0.028,0.9947,2.9166,0.512
14,0.0266,0.988,3.0978,0.488
13,0.1319,0.9547,5.5858,0.424
