Time,Loss,Accuracy,valLoss,valAccuracy
10,2.4396,0.1486,2.5996,0.1
6,2.2235,0.2057,3.7175,0.1
6,2.1878,0.2486,5.6732,0.1
6,2.0487,0.28,6.2424,0.1
6,1.9065,0.3657,6.2978,0.1
6,1.8193,0.3629,6.237,0.1
6,1.6808,0.4457,6.5342,0.1
7,1.516,0.4671,4.7468,0.1
6,1.44,0.5314,3.3248,0.1133
6,1.4511,0.5214,3.0037,0.22
6,1.1777,0.6057,4.1259,0.16
6,1.141,0.6243,3.4454,0.2767
7,1.025,0.6414,3.9755,0.2867
6,1.0976,0.6429,4.2807,0.2867
6,0.7471,0.7529,3.8116,0.2733
7,0.624,0.8,4.9462,0.2433
6,0.6474,0.8014,4.7706,0.2367
6,0.7092,0.7571,4.489,0.2867
6,0.6082,0.8071,3.8871,0.32
6,0.4457,0.8486,4.1555,0.3333
6,0.5211,0.8357,4.1603,0.31
6,0.4123,0.8643,4.6674,0.2533
6,0.4204,0.8543,4.0346,0.3
6,0.3651,0.8657,3.9893,0.3033
6,0.3128,0.8971,4.3265,0.28
6,0.2696,0.9171,4.579,0.3
6,0.2095,0.9357,3.9076,0.3267
6,0.2184,0.9357,3.9591,0.3
6,0.1984,0.9357,3.7894,0.3333
6,0.2366,0.92,4.0116,0.3067
7,0.2147,0.9286,3.886,0.3767
6,0.3715,0.8786,4.9457,0.2833
6,0.31,0.8986,5.1176,0.3567
6,0.2923,0.8986,5.411,0.27
6,0.2682,0.9114,3.9342,0.3167
6,0.2396,0.9186,4.4003,0.32
6,0.1762,0.9457,3.9018,0.3467
6,0.1539,0.9514,3.3816,0.4067
6,0.1819,0.9471,3.779,0.3733
7,0.1284,0.96,3.7533,0.3767
6,0.1101,0.9671,3.7271,0.3767
6,0.1128,0.9671,3.8337,0.35
7,0.1433,0.9471,4.8715,0.3133
6,0.1963,0.9343,4.3652,0.35
6,0.1799,0.9486,4.3911,0.34
6,0.2025,0.92,4.636,0.28
6,0.219,0.9386,4.0076,0.36
6,0.1826,0.9371,4.4111,0.36
6,0.1967,0.9286,3.9523,0.3533
6,0.2553,0.9257,3.6587,0.3867
8,0.2048,0.9329,3.8148,0.38
6,0.1296,0.9543,4.0298,0.3533
7,0.1218,0.9614,4.8438,0.3133
6,0.1293,0.9643,3.9558,0.3233
6,0.1197,0.9614,4.1481,0.3767
7,0.1182,0.9643,3.6905,0.4033
6,0.1291,0.96,3.6508,0.3433
6,0.1668,0.9471,4.7297,0.33
6,0.2211,0.9229,4.2812,0.3067
6,0.2176,0.9314,5.8594,0.29
6,0.3661,0.8857,4.94,0.3433
6,0.2427,0.93,4.3872,0.3333
6,0.1899,0.9357,4.8751,0.3133
7,0.1441,0.9557,3.9749,0.35
6,0.088,0.9714,4.2579,0.3267
6,0.0757,0.9771,3.9853,0.3867
6,0.0404,0.99,3.5564,0.3933
6,0.0487,0.9871,3.4764,0.4133
6,0.0476,0.9814,3.3815,0.43
6,0.0657,0.98,3.6708,0.4033
6,0.0743,0.9771,3.9147,0.38
6,0.0626,0.9814,3.5676,0.3933
7,0.1708,0.9414,5.394,0.2967
6,0.1718,0.9414,4.5652,0.3633
6,0.242,0.9171,4.9266,0.3033
6,0.1835,0.9414,4.6328,0.39
6,0.1366,0.96,6.2868,0.2867
6,0.0921,0.9686,4.1283,0.36
6,0.066,0.9843,4.2823,0.37
6,0.085,0.9671,4.4918,0.37
6,0.058,0.9829,3.9784,0.4067
6,0.0386,0.99,4.0356,0.38
6,0.0447,0.9886,3.9002,0.3967
6,0.0633,0.9757,4.4688,0.3567
6,0.0848,0.9657,4.0607,0.37
6,0.115,0.9657,4.7888,0.3267
6,0.1928,0.9371,4.4878,0.3433
6,0.1615,0.9486,4.8989,0.3533
6,0.1049,0.9629,4.6959,0.36
7,0.2199,0.9357,5.8201,0.3267
6,0.1683,0.9457,4.4009,0.3667
6,0.1411,0.9429,5.8259,0.31
8,0.0881,0.9729,4.2344,0.38
7,0.1017,0.9714,4.0814,0.3933
6,0.0959,0.9629,4.6853,0.3767
6,0.0958,0.9671,4.9807,0.3633
6,0.0598,0.9829,4.532,0.3567
6,0.0714,0.9786,4.1649,0.34
6,0.0675,0.9757,5.2412,0.34
6,0.0965,0.9643,4.967,0.3233
